id,zh,ja,zh_negated,ja_negated,count
P542,宣布开幕者,公式開会者,不是 宣布开幕者,いいえ 公式開会者,1047
P2675,回应,返信先,不是 回应,いいえ 返信先,387
P275,许可协议,利用許諾,不是 许可协议,いいえ 利用許諾,161241
P1363,得分或進球者,得点者,不是 得分或進球者,いいえ 得点者,2441
P768,選區,選挙区,不是 選區,いいえ 選挙区,18986
P358,唱片目录,ディスコグラフィ,不是 唱片目录,いいえ ディスコグラフィ,11952
P84,建造者,設計,不是 建造者,いいえ 設計,75317
P3985,支援的程式語言,サポートするプログラミング言語,不是 支援的程式語言,いいえ サポートするプログラミング言語,228
P2667,对应模板,対応するテンプレート,不是 对应模板,いいえ 対応するテンプレート,860
P8810,亲代,親,不是 亲代,いいえ 親,13
P4733,產生聲音,発生音,不是 產生聲音,いいえ 発生音,56
P2505,承载,通るもの,不是 承载,いいえ 通るもの,12478
P1057,染色体,染色体,不是 染色体,いいえ 染色体,608710
P2680,后跋作者,あとがきの筆者,不是 后跋作者,いいえ あとがきの筆者,99
P5054,內閣,内閣,不是 內閣,いいえ 内閣,5
P1080,所属虚构世界,登場する架空世界,不是 所属虚构世界,いいえ 登場する架空世界,31385
P1875,代表者,仲介者,不是 代表者,いいえ 仲介者,8117
P135,文化运动,ムーブメント,不是 文化运动,いいえ ムーブメント,58648
P7500,合併症,合併症,不是 合併症,いいえ 合併症,19
P618,能量来源,エネルギー源,不是 能量来源,いいえ エネルギー源,6188
P923,医学检查,診察,不是 医学检查,いいえ 診察,993
P8107,总线,バス,不是 总线,いいえ バス,17
P2632,羁押地点,収監場所,不是 羁押地点,いいえ 収監場所,145141
P2935,連接器,コネクタ,不是 連接器,いいえ コネクタ,788
P1012,包括,以下を含める,不是 包括,いいえ 以下を含める,59
P1547,依賴軟件,依存しているソフトウェア,不是 依賴軟件,いいえ 依存しているソフトウェア,18192
P5280,部首,部首,不是 部首,いいえ 部首,2355
P8032,受害人,被害者,不是 受害人,いいえ 被害者,870
P272,製作商,制作会社,不是 製作商,いいえ 制作会社,119102
P1419,形状,形状,不是 形状,いいえ 形状,1875
P5824,撤銷,以下によって撤回,不是 撤銷,いいえ 以下によって撤回,1462
P2416,参加的体育比赛项目,競技種目,不是 参加的体育比赛项目,いいえ 競技種目,49498
P3828,穿着,以下を着用,不是 穿着,いいえ 以下を着用,1752
P5389,永久居留权,永住権保有国,不是 永久居留权,いいえ 永住権保有国,1288
P708,教區,教区,不是 教區,いいえ 教区,141578
P69,就读于,出身校,不是 就读于,いいえ 出身校,2269402
P189,发现地点,発見場所,不是 发现地点,いいえ 発見場所,26285
P2825,途经,経由地,不是 途经,いいえ 経由地,861
P4934,计算方法,以下から算出,不是 计算方法,いいえ 以下から算出,578
P2937,议会任期,議会開催期,不是 议会任期,いいえ 議会開催期,6378
P400,平台,プラットフォーム,不是 平台,いいえ プラットフォーム,98555
P4353,提名者,推薦者,不是 提名者,いいえ 推薦者,230
P681,细胞组件,細胞の構成要素,不是 细胞组件,いいえ 細胞の構成要素,899727
P425,专业领域,専門的職業の分野,不是 专业领域,いいえ 専門的職業の分野,5765
P6364,官方颜色,オフィシャル・カラー,不是 官方颜色,いいえ オフィシャル・カラー,3090
P1049,受其崇拜,信仰元,不是 受其崇拜,いいえ 信仰元,2380
P1881,角色列表,登場人物の一覧,不是 角色列表,いいえ 登場人物の一覧,878
P2175,用于治疗,対象となる医学的状態,不是 用于治疗,いいえ 対象となる医学的状態,6992
P3512,移动方式,移動手段,不是 移动方式,いいえ 移動手段,103
P418,印章描述,印章の解説,不是 印章描述,いいえ 印章の解説,110
P2353,統計單位,統計単位,不是 統計單位,いいえ 統計単位,25
P1571,到达域,終域,不是 到达域,いいえ 終域,76
P972,目录,カタログ,不是 目录,いいえ カタログ,69086
P688,生物编码,遺伝子産物,不是 生物编码,いいえ 遺伝子産物,973826
P1592,檢察官,検察官,不是 檢察官,いいえ 検察官,426
P5051,行車方向,方面,不是 行車方向,いいえ 方面,64
P200,流入源,流入源,不是 流入源,いいえ 流入源,14887
P1924,疫苗用於,ワクチンの対象,不是 疫苗用於,いいえ ワクチンの対象,203
P703,具此物質之物種/此物質可作用之物種,これを持つタクソン,不是 具此物質之物種/此物質可作用之物種,いいえ これを持つタクソン,2853804
P4614,集水區,分水嶺,不是 集水區,いいえ 分水嶺,79530
P2308,类,クラス,不是 类,いいえ クラス,4
P1706,连同,以下とともに,不是 连同,いいえ 以下とともに,72
P1318,证明者,証明した人,不是 证明者,いいえ 証明した人,125
P2578,研究對象,研究分野,不是 研究對象,いいえ 研究分野,1954
P812,高校专业,大学における専攻,不是 高校专业,いいえ 大学における専攻,2838
P4584,首次亮相于,初登場,不是 首次亮相于,いいえ 初登場,6985
P1456,古迹列表,記念碑の一覧,不是 古迹列表,いいえ 記念碑の一覧,20144
P4446,忠诚计划,報奨プログラム,不是 忠诚计划,いいえ 報奨プログラム,275
P1532,体育代表国,代表国,不是 体育代表国,いいえ 代表国,201826
P1809,编舞,振付師,不是 编舞,いいえ 振付師,4208
P344,摄影指导,撮影監督,不是 摄影指导,いいえ 撮影監督,91536
P500,飞地从属于,飛地の本体,不是 飞地从属于,いいえ 飛地の本体,130
P407,作品或名稱的語言,言語,不是 作品或名稱的語言,いいえ 言語,14800503
P2396,值域,像,不是 值域,いいえ 像,47
P1454,法律形式,組織形態,不是 法律形式,いいえ 組織形態,197130
P467,立法者,制定した立法府,不是 立法者,いいえ 制定した立法府,46724
P375,发射载具,打ち上げロケット,不是 发射载具,いいえ 打ち上げロケット,6763
P2851,接受的付款方式,料金の支払い方法,不是 接受的付款方式,いいえ 料金の支払い方法,39226
P7137,致谢,謝辞の相手,不是 致谢,いいえ 謝辞の相手,858
P264,唱片公司,レコード・レーベル,不是 唱片公司,いいえ レコード・レーベル,338731
P5102,陳述環境,情報の状況,不是 陳述環境,いいえ 情報の状況,29
P8625,文献资料,書誌,不是 文献资料,いいえ 書誌,70
P2098,副職,代理官,不是 副職,いいえ 代理官,590
P736,封面艺术家,装丁家／ジャケットデザイナー,不是 封面艺术家,いいえ 装丁家／ジャケットデザイナー,6718
P2820,势,集合の濃度,不是 势,いいえ 集合の濃度,52
P9071,角色類型,キャラクターのタイプ,不是 角色類型,いいえ キャラクターのタイプ,3186
P770,衰亡原因,破壊原因,不是 衰亡原因,いいえ 破壊原因,1380
P1393,代理人,代理人,不是 代理人,いいえ 代理人,49
P2821,副产品,副産物,不是 副产品,いいえ 副産物,49
P531,派駐代表機構,在外公館,不是 派駐代表機構,いいえ 在外公館,1710
P6338,上色师,カラリスト,不是 上色师,いいえ カラリスト,1312
P4743,品種,家畜の品種,不是 品種,いいえ 家畜の品種,8622
P1313,政府首脑职位,行政府の長の地位,不是 政府首脑职位,いいえ 行政府の長の地位,62785
P1026,學位論文,学位論文,不是 學位論文,いいえ 学位論文,11022
P7261,使用限制状态,使用制限,不是 使用限制状态,いいえ 使用制限,415440
P5023,此地點的活動方針,利用案内,不是 此地點的活動方針,いいえ 利用案内,130
P3161,具有语气,文法的法,不是 具有语气,いいえ 文法的法,109
P8791,電子化,デジタル化した者,不是 電子化,いいえ デジタル化した者,2705
P658,曲目,収録曲,不是 曲目,いいえ 収録曲,33907
P991,当选者,当選者,不是 当选者,いいえ 当選者,23167
P8324,財務贊助者,資金提供者,不是 財務贊助者,いいえ 資金提供者,1904
P1780,所属学派,所属学派,不是 所属学派,いいえ 所属学派,19
P1340,眼睛顏色,目の色,不是 眼睛顏色,いいえ 目の色,10047
P1302,主要目的地,主な経由都市,不是 主要目的地,いいえ 主な経由都市,3923
P6216,著作權狀態,著作権の状況,不是 著作權狀態,いいえ 著作権の状況,1817697
P1876,载具,船,不是 载具,いいえ 船,846
P2378,發行者,ID発行者,不是 發行者,いいえ ID発行者,1797
P608,展覽歷史,展示歴,不是 展覽歷史,いいえ 展示歴,26633
P7374,教育阶段,教育段階,不是 教育阶段,いいえ 教育段階,81
P414,证券交易所,証券取引所,不是 证券交易所,いいえ 証券取引所,13231
P518,適用部分,あてはまる部分,不是 適用部分,いいえ あてはまる部分,203
P3716,社會階層,社会階級,不是 社會階層,いいえ 社会階級,11947
P7767,食物存放温度,提供温度,不是 食物存放温度,いいえ 提供温度,29
P412,聲部,声域,不是 聲部,いいえ 声域,34254
P289,艦級,艦級,不是 艦級,いいえ 艦級,13365
P707,衛星平台,衛星バス,不是 衛星平台,いいえ 衛星バス,113
P505,总经理,ゼネラルマネージャー,不是 总经理,いいえ ゼネラルマネージャー,1482
P1001,管辖区,管轄・適用区域,不是 管辖区,いいえ 管轄・適用区域,938663
P6886,书写语言,記述言語,不是 书写语言,いいえ 記述言語,162201
P1002,引擎配置,エンジン形態,不是 引擎配置,いいえ エンジン形態,1031
P1574,原本包含,以下のものの原本,不是 原本包含,いいえ 以下のものの原本,1740
P1387,政治立場,政治的立場,不是 政治立場,いいえ 政治的立場,4250
P4149,共轭碱,共役塩基,不是 共轭碱,いいえ 共役塩基,358
P91,性取向,性的指向,不是 性取向,いいえ 性的指向,4111
P30,大洲,大陸,不是 大洲,いいえ 大陸,83038
P2515,服裝設計,衣裳デザイナー,不是 服裝設計,いいえ 衣裳デザイナー,12686
P2647,材料来源,産地,不是 材料来源,いいえ 産地,147
P611,宗教團,宗教会,不是 宗教團,いいえ 宗教会,33053
P3294,编码,符号化,不是 编码,いいえ 符号化,2
P54,所屬運動隊,所属チーム,不是 所屬運動隊,いいえ 所属チーム,1546197
P479,输入设备,入力機器,不是 输入设备,いいえ 入力機器,15149
P6885,历史地区,歴史的地域,不是 历史地区,いいえ 歴史的地域,15038
P417,主保圣人,守護聖人,不是 主保圣人,いいえ 守護聖人,21721
P541,競逐之職位,争われた公職,不是 競逐之職位,いいえ 争われた公職,42849
P1576,生活方式,生活様式,不是 生活方式,いいえ 生活様式,1288
P1558,拍速标记,速度記号,不是 拍速标记,いいえ 速度記号,133
P931,机场服务地区,空港周辺の場所,不是 机场服务地区,いいえ 空港周辺の場所,12148
P543,宣誓者,宣誓者,不是 宣誓者,いいえ 宣誓者,90
P504,母港,母港,不是 母港,いいえ 母港,5863
P511,头衔,敬称,不是 头衔,いいえ 敬称,52387
P4908,電視劇季,シーズン,不是 電視劇季,いいえ シーズン,63882
P1199,遺傳模式,遺伝形式,不是 遺傳模式,いいえ 遺伝形式,85
P6166,引用原文出处,引用作品,不是 引用原文出处,いいえ 引用作品,410
P193,主要建筑承建商,元請建設会社,不是 主要建筑承建商,いいえ 元請建設会社,2904
P1906,國家元首職位,国家元首の地位,不是 國家元首職位,いいえ 国家元首の地位,563
P945,效忠对象,忠誠を誓った対象,不是 效忠对象,いいえ 忠誠を誓った対象,60876
P408,软件引擎,エンジン,不是 软件引擎,いいえ エンジン,9860
P4647,首演地点,初演地,不是 首演地点,いいえ 初演地,18266
P1399,所犯罪名,罪名,不是 所犯罪名,いいえ 罪名,10528
P114,航空聯盟,航空連合,不是 航空聯盟,いいえ 航空連合,278
P512,学位,学位,不是 学位,いいえ 学位,132400
P4220,作戰序列,戦闘序列,不是 作戰序列,いいえ 戦闘序列,409
P2501,賽果,競技結果,不是 賽果,いいえ 競技結果,84
P7252,难度系数,難易度,不是 难度系数,いいえ 難易度,420
P735,名字,名,不是 名字,いいえ 名,6673611
P126,维护者,管理者,不是 维护者,いいえ 管理者,528563
P1408,廣播地區,放送区域,不是 廣播地區,いいえ 放送区域,16665
P5137,该义项的项目,この語義に対応する項目,不是 该义项的项目,いいえ この語義に対応する項目,115540
P5009,符合標準,適合基準,不是 符合標準,いいえ 適合基準,163
P533,攻击目标,標的,不是 攻击目标,いいえ 標的,1496
P2291,上榜,チャートイン,不是 上榜,いいえ チャートイン,1601
P1383,包含聚落,包含する集落,不是 包含聚落,いいえ 包含する集落,32821
P21,性別,性別,不是 性別,いいえ 性別,7876165
P682,生物途径,生物学的プロセス,不是 生物途径,いいえ 生物学的プロセス,1194167
P5817,使用狀態,使用状態,不是 使用狀態,いいえ 使用状態,62593
P3005,有效地點,あてはまる場所,不是 有效地點,いいえ あてはまる場所,173
P655,译者,訳者,不是 译者,いいえ 訳者,18384
P912,擁有設施,保有施設,不是 擁有設施,いいえ 保有施設,16547
P3967,决赛,決勝戦,不是 决赛,いいえ 決勝戦,1860
P1192,所屬路線,所属運行路線,不是 所屬路線,いいえ 所属運行路線,41150
P8031,加害人,加害者,不是 加害人,いいえ 加害者,818
P4379,青年翼,青年組織,不是 青年翼,いいえ 青年組織,205
P2360,受眾,この項目が想定する対象,不是 受眾,いいえ この項目が想定する対象,7870
P57,导演,監督,不是 导演,いいえ 監督,332848
P2922,月份,対象月,不是 月份,いいえ 対象月,4599
P2408,時代背景,時代設定,不是 時代背景,いいえ 時代設定,7382
P560,方向,方向,不是 方向,いいえ 方向,36
P1596,刑罰,科刑,不是 刑罰,いいえ 科刑,1918
P4387,更新方法,更新方法,不是 更新方法,いいえ 更新方法,119
P1027,颁发者,授与者,不是 颁发者,いいえ 授与者,15110
P941,启发自,着想を得たもの,不是 启发自,いいえ 着想を得たもの,5758
P1877,原著作者,原作者,不是 原著作者,いいえ 原作者,12339
P4969,衍生作品,派生作品,不是 衍生作品,いいえ 派生作品,19804
P6718,音樂影片,ミュージック・ビデオ,不是 音樂影片,いいえ ミュージック・ビデオ,324
P520,武器,兵装,不是 武器,いいえ 兵装,5520
P925,突触,シナプス前細胞,不是 突触,いいえ シナプス前細胞,6
P205,流域国,流域国,不是 流域国,いいえ 流域国,17703
P8111,计量单位,推奨測定単位,不是 计量单位,いいえ 推奨測定単位,1167
P943,程序员,プログラマ,不是 程序员,いいえ プログラマ,388
P8744,話題的經濟,主題の経済,不是 話題的經濟,いいえ 主題の経済,1377
P7727,议会委员会,立法委員会,不是 议会委员会,いいえ 立法委員会,124889
P1028,捐贈者,寄贈者,不是 捐贈者,いいえ 寄贈者,9673
P8225,为其元类,以下のメタクラス,不是 为其元类,いいえ 以下のメタクラス,372
P3452,推断依据,以下から推測,不是 推断依据,いいえ 以下から推測,2
P447,评分者,レビュアー,不是 评分者,いいえ レビュアー,14
P7086,開始年級,開始学年,不是 開始年級,いいえ 開始学年,3730
P6224,著录级次,説明のレベル,不是 著录级次,いいえ 説明のレベル,628069
P2596,文化,文化,不是 文化,いいえ 文化,10030
P1478,直接原因,直接の原因,不是 直接原因,いいえ 直接の原因,125023
P1018,語言管理機構,言語統制機関,不是 語言管理機構,いいえ 言語統制機関,208
P485,存檔于,アーカイブ,不是 存檔于,いいえ アーカイブ,75475
P6855,是否提供急診,救急サービス,不是 是否提供急診,いいえ 救急サービス,766
P3301,广播业者,放送媒体,不是 广播业者,いいえ 放送媒体,7431
P1568,定義域,定義域,不是 定義域,いいえ 定義域,125
P2964,投票權人,投票権者,不是 投票權人,いいえ 投票権者,68
P97,贵族头衔,爵位,不是 贵族头衔,いいえ 爵位,54552
P1136,解決者,解いた人,不是 解決者,いいえ 解いた人,116
P16,公路系統,道路システム,不是 公路系統,いいえ 道路システム,52704
P1622,道路通行方向,交通方法,不是 道路通行方向,いいえ 交通方法,428
P1897,最高音,最高音,不是 最高音,いいえ 最高音,6
P4661,建立的水庫,ダム湖,不是 建立的水庫,いいえ ダム湖,3203
P437,发行方式,メディア形態,不是 发行方式,いいえ メディア形態,205282
P7309,登山路線,登山ルート,不是 登山路線,いいえ 登山ルート,64
P1171,近似算法,近似アルゴリズム,不是 近似算法,いいえ 近似アルゴリズム,9
P3148,廢除,以下の文書を廃止,不是 廢除,いいえ 以下の文書を廃止,28838
P6153,研究地點,研究施設,不是 研究地點,いいえ 研究施設,266976
P5642,风险因子,危険因子,不是 风险因子,いいえ 危険因子,198
P1406,文字方向,書字方向,不是 文字方向,いいえ 書字方向,324
P4878,象征,象徴するもの,不是 象征,いいえ 象徴するもの,51
P5658,鐵路通行方向,鉄道の交通方法,不是 鐵路通行方向,いいえ 鉄道の交通方法,282
P811,副修专业,大学における副専攻,不是 副修专业,いいえ 大学における副専攻,103
P19,出生地,出生地,不是 出生地,いいえ 出生地,3035164
P501,内飞于,包領の周囲,不是 内飞于,いいえ 包領の周囲,249
P8258,訓練,研修分野,不是 訓練,いいえ 研修分野,19
P5133,医学发现,主題の評価,不是 医学发现,いいえ 主題の評価,24
P3091,騎上,騎乗する動物,不是 騎上,いいえ 騎乗する動物,746
P1429,寵物,ペット,不是 寵物,いいえ ペット,318
P3938,命名者,命名者,不是 命名者,いいえ 命名者,628
P6087,體育隊,スポーツチームのコーチ,不是 體育隊,いいえ スポーツチームのコーチ,11850
P1591,被告人,被告,不是 被告人,いいえ 被告,4610
P642,範圍,以下についての,不是 範圍,いいえ 以下についての,5091
P2414,为酶的底物,以下の基質,不是 为酶的底物,いいえ 以下の基質,9
P4000,拥有果实类型,果実の種類,不是 拥有果实类型,いいえ 果実の種類,3039
P702,編碼基因,コードしている遺伝子,不是 編碼基因,いいえ コードしている遺伝子,976836
P545,火炬点燃者,聖火点火者,不是 火炬点燃者,いいえ 聖火点火者,73
P725,配音演员,声優,不是 配音演员,いいえ 声優,63208
P6840,学生组织属于,在籍校,不是 学生组织属于,いいえ 在籍校,34
P397,母天体,母天体,不是 母天体,いいえ 母天体,12507
P459,确定方法,使用された手段・手法,不是 确定方法,いいえ 使用された手段・手法,329
P1299,描绘于,描写した作品,不是 描绘于,いいえ 描写した作品,10979
P3989,成员职业,メンバーの職業,不是 成员职业,いいえ メンバーの職業,1768
P7959,历史郡,歴史的カウンティ,不是 历史郡,いいえ 歴史的カウンティ,782765
P462,颜色,色,不是 颜色,いいえ 色,195178
P3261,解剖分支属于,以下の解剖学的分枝,不是 解剖分支属于,いいえ 以下の解剖学的分枝,415
P241,军事部门,軍種,不是 军事部门,いいえ 軍種,114815
P1064,軌距,軌間,不是 軌距,いいえ 軌間,24421
P1891,签署方,調印者,不是 签署方,いいえ 調印者,17166
P2842,結婚地點,結婚した場所,不是 結婚地點,いいえ 結婚した場所,3
P734,姓氏,姓,不是 姓氏,いいえ 姓,3641074
P421,时区,標準時間帯,不是 时区,いいえ 標準時間帯,2008070
P6587,聯賽系統,リーグ制度,不是 聯賽系統,いいえ リーグ制度,231
P2302,属性约束,プロパティ制約,不是 属性约束,いいえ プロパティ制約,60448
P1640,館長,キュレーター,不是 館長,いいえ キュレーター,1600
P1046,发现方法,発見方法,不是 发现方法,いいえ 発見方法,4253
P942,主題曲,主題歌,不是 主題曲,いいえ 主題歌,3967
