id,en,en_negated,de,de_negated,fr,fr_negated,es,es_negated,ru,ja,zh,ru_negated,ja_negated,zh_negated,count
P101,works in the field of,does not work in the field of,arbeitet im Bereich,funktioniert nicht im Bereich,travaille dans le domaine de,ne travaille pas dans le domaine de,trabaja en el campo de,no trabaja en el campo de,работает в сфере,の分野で働く,在以下領域工作,не работает в сфере,の分野では動作しません,不適用於以下領域,252599
P1923,participated in the,did not participate in the,hat teilgenommen an,nahm nicht an der teil,participé à la,n'a pas participé à la,participo en el,no participó en el,участвовал в,に参加しました,參加了,не участвовал в,に参加しなかった,沒有參加,148066
P527,consists of,does not consist of,besteht aus,besteht nicht aus,consiste en,ne consiste pas à,consiste en,no consiste en,состоит из,で構成されています,由組成,не состоит из,で構成されていません,不包括,1935300
P530,maintains diplomatic relations with,does not maintain diplomatic relations with,unterhält diplomatische Beziehungen zu,unterhält keine diplomatischen Beziehungen zu,entretient des relations diplomatiques avec,n'entretient pas de relations diplomatiques avec,mantiene relaciones diplomáticas con,no mantiene relaciones diplomáticas con,поддерживает дипломатические отношения с,との外交関係を維持します,與,не поддерживает дипломатические отношения с,との外交関係を維持していません,不保持外交關係,7046
P176,is produced by,is not produced by,wird produziert von,wird nicht von produziert,est produit par,n'est pas produit par,es producido por,no es producido por,производится,によって生成されます,由,не производится,によって生成されていません,不是由,130741
P407,was written in,was not written in,eingeschrieben wurde,wurde nicht hineingeschrieben,a été écrit dans,n'était pas écrit dans,fue escrito en,no estaba escrito en,было написано в,で書かれました,寫在,не было написано в,で書かれていませんでした,沒有寫在,14800503
P30,is located in,is not located in,befindet sich in,befindet sich nicht in,est situé à,n'est pas situé dans,Se encuentra en,no se encuentra en,расположен в,に位置しています,位於,находится не в,にありません,不位於,83038
P178,is developed by,is not developed by,wird entwickelt von,wird nicht von entwickelt,est développé par,n'est pas développé par,es desarrollado por,no es desarrollado por,разработан,によって開発されました,由開發,не разрабатывается,によって開発されていません,不是由,45750
P1376,is the capital of,is not the capital of,ist die Hauptstadt von,ist nicht die Hauptstadt von,est la capitale de,n'est pas la capitale de,es la capital de,no es la capital de,является столицей,の首都です,是首都,это не столица,の首都ではありません,不是首都,83871
P131,is located in,is not located in,befindet sich in,befindet sich nicht in,est situé à,n'est pas situé dans,Se encuentra en,no se encuentra en,расположен в,に位置しています,位於,находится не в,にありません,不位於,11213234
P1412,used to communicate in,did not use to communicate in,"verwendet, um sich zu verständigen","nicht verwendet, um in zu kommunizieren",utilisé pour communiquer dans,n'avait pas l'habitude de communiquer dans,solía comunicarse en,no solía comunicarse en,привык общаться в,で通信するために使用,用於交流,не привык общаться в,で通信するために使用しませんでした,沒有用來交流,2221570
P108,works for,does not work for,funktioniert für,funktioniert nicht für,fonctionne pour,ne fonctionne pas pour,trabaja para,no funciona para,работает на,のために働く,效勞於,не работает для,のために動作しません,不適用於,1618361
P17,is located in,is not located in,befindet sich in,befindet sich nicht in,est situé à,n'est pas situé dans,Se encuentra en,no se encuentra en,расположен в,に位置しています,位於,находится не в,にありません,不位於,14800490
P39,has the position of,does not have the position of,hat die Stellung als,hat nicht die Position von,occupe le poste de,n'occupe pas le poste de,tiene la posición de,no tiene el puesto de,имеет положение,の位置を持っています,位置為,не имеет должности,の位置を持っていません,沒有職位,1456025
P264,is represented by music label,is not represented by music label,wird vertreten durch ein Musiklabel,wird nicht durch ein Musiklabel vertreten,est représenté par le label de musique,n'est pas représenté par un label de musique,está representado por la etiqueta de la música,no está representado por el sello musical,представлен музыкальным лейблом,音楽レーベルによって表されます,由音樂標籤代表,не представлен музыкальным лейблом,音楽レーベルでは表されていません,不由音樂標籤代表,338731
P276,is located in,is not located in,befindet sich in,befindet sich nicht in,est situé à,n'est pas situé dans,Se encuentra en,no se encuentra en,расположен в,に位置しています,位於,находится не в,にありません,不位於,2553086
P937,used to work in,did not use to work in,"verwendet, um darin zu arbeiten",habe nicht gearbeitet,avait l'habitude de travailler dans,n'avait pas l'habitude de travailler dans,solía trabajar en,no solía trabajar en,раньше работал в,で働いていた,曾經在,не работал в,で働くために使用しませんでした,沒用來工作,339031
P1303,plays,does not play,Theaterstücke,spielt nicht,pièces,Ne joue pas,obras de teatro,No juega,пьесы,演じる,戲劇,не играет,再生しません,不玩,210870
P127,is owned by,is not owned by,gehört,ist nicht im Besitz von,Est détenue par,n'appartient pas à,es propiedad de,no es propiedad de,принадлежит,が所有しています,歸於,не принадлежит,が所有していません,不屬於,466709
P1001,is a legal term in,is not a legal term in,ist ein juristischer Begriff in,ist kein juristischer Begriff in,est un terme juridique en,n'est pas un terme juridique dans,es un término legal en,no es un término legal en,является юридическим термином в,の法的用語です,是一個法律術語,не является юридическим термином в,の法的な用語ではありません,不是一個法律術語,938663
P31,is a,is not a,ist ein,ist kein,est un,n'est pas un,es un,no es un,это,は,是一個,это не,ではありません,不是一個,103114325
P495,was created in,was not created in,entstand in,wurde nicht erstellt in,a été créé en,n'a pas été créé en,fue creado en,no fue creado en,был создан в,で作成されました,創建於,не был создан в,で作成されませんでした,不是在,1345801
P740,was founded in,was not founded in,wurde gegründet in,wurde nicht gegründet,A été fondé en,n'a pas été fondée en,fue fundado en,no fue fundado en,была основана в,で設立されました,成立於,не был основан в,で設立されませんでした,不是成立於,44482
P361,is part of,is not part of,ist ein Teil von,ist nicht Teil von,fait partie de,ne fait pas partie de,es parte de,no es parte de,это часть,の一部です,是其一部分,не является частью,の一部ではありません,不屬於,4368193
