id,en,de,fr,es
Q1558632,Rome,Rome,Rome,Roma
Q2165236,everything,alles,tout,todo
Q1514741,set,Menge,ensemble,conjunto
Q704662,John,Johannes,Jean,John
Q16423586,Paris,Paris,Paris,París
Q5739453,Herman,Hermann,Herman,Herman
Q13582404,danger,Gefahr,danger,peligro
Q3606969,Ahmad,Ahmet,Ahmad,Ahmed
Q397239,edition,Edition,édition,edición
Q14944328,example,Beispiel,exemple,ejemplo
Q2920644,environment,Umgebung,environnement,ambiente
Q12123144,Mexico,Mexico,Mexico,México
Q211198,audience,Publikum,public,audiencia
Q225149,Jesus,Jesus,Jésus,Jesus
Q396315,García,Garcia,García,García
Q213381,generation,Generation,génération,generación
Q494268,blood,Blut,sang,sangre
Q7382648,majority,Mehrheit,majorité,mayoría
Q37507784,Granada,Granada,Granada,Granada
Q3851114,opportunity,Chance,chance,oportunidad
Q14915034,course,Gang,plat,tiempo
Q31983622,reaction,Reaktion,réaction,reacción
Q846785,action,Wirkung,action,acción
Q1852722,Rio,Rio,Río,Río
Q21142755,recognition,Anerkennung,reconnaissance,reconocimiento
Q29288,Caesar,Caesar,César,César
Q103184,article,Artikel,article,artículo
Q205653,Orient,Orient,Orient,Oriente
Q39373172,half,Hälfte,moitié,mitad
Q493043,André,Andre,André,André
Q3941234,Rose,Rose,Rose,Rosa
Q431958,Bau,Baba,Bau,Baba
Q908349,motif,Motiv,motif,motivo
Q542869,supply,Angebot,offre,oferta
Q2006082,sun,Sonne,soleil,sol
Q2346367,Hannah,Hanna,Anne,Ana
Q833053,theme,Thema,thème,tema
Q27948,list,Liste,liste,lista
Q234180,Israel,Israel,Israël,Israel
Q21075690,solution,Lösung,solution,solución
Q1643184,help,Hilfe,aide,ayuda
Q1351496,Louis,Ludwig,Louis,Louis
Q421744,act,Akt,acte,acto
Q17297777,friend,Freund,ami,amigo
Q106825,Rodriguez,Rodriguez,Rodriguez,Rodríguez
Q2133296,space,Raum,espace,espacio
Q3419242,heart,Herz,cœur,corazón
Q3962655,opinion,Meinung,opinion,opinión
Q495871,professor,Professor,professeur,profesor
Q586657,Cuba,Kuba,Cuba,Cuba
Q3710,foot,Fuß,pied,pie
Q76363443,Hope,Hoffnung,Hope,Hope
Q192630,past,Vergangenheit,passé,pasado
Q1185607,scene,Szene,tableau,escena
Q183046,meaning,Bedeutung,sens,significado
Q2150504,signal,Signal,signal,señal
Q23939248,London,London,Londres,London
Q1260632,content,Inhalt,contenu,contenido
Q3059502,critique,Kritik,critique,crítica
Q1682108,vision,Vision,vision,visión
Q240673,cost,Kosten,coût,costo
Q12888920,choice,Auswahl,choix,elección
Q56281007,Foundation,Foundation,Foundation,Fundación
Q1069725,page,Seite,page,página
Q2141565,situation,Situation,situation,situación
Q27888038,Mars,Mars,Mars,Marte
Q28840755,surface,Oberfläche,surface,superficie
Q1277366,Noel,Noel,Noël,Noel
Q783521,title,Titel,titre,título
Q10861465,brother,Bruder,frère,hermano
Q17285,plane,Ebene,plan,plano
Q1663557,initiative,Initiative,initiative,iniciativa
Q185957,quality,Qualität,qualité,calidad
Q31464082,source,Herkunft,source,fuente
Q205663,process,Prozess,processus,proceso
Q719395,category,Kategorie,catégorie,categoría
Q403523,system,System,système,sistema
Q1851760,victim,Opfer,victime,víctima
Q4197743,player,Spieler,joueur,jugador
Q529711,beginning,Anfang,début,inicio
Q194808,Sarah,Sarah,Sarah,Sara
Q338754,control,Kontrolle,contrôle,control
Q1228250,line,Linie,ligne,línea
Q170494,body,Körper,corps,cuerpo
Q7632586,success,Erfolg,succès,éxito
Q177232,son,Sohn,fils,hijo
Q308194,daughter,Tochter,fille,hija
Q1144560,rate,Rate,taux,tasa
Q23387,week,Woche,semaine,semana
Q319676,competition,Wettbewerb,concurrence,competencia
Q622645,attitude,Einstellung,attitude,actitud
Q7722,morning,Morgen,matin,mañana
Q131841,idea,Idee,idée,idea
Q5151,month,Monat,mois,mes
Q81214132,Maya,Maja,Maya,Maya
Q7565,father,Vater,père,padre
Q642420,Christ,Christus,Christ,Cristo
Q188889,code,Code,code,código
Q2502489,Belle,Belle,Belle,Bella
Q25342,power,Leistung,puissance,potencia
Q25235,hour,Stunde,heure,hora
Q1173065,album,Album,album,álbum
Q194428,stage,Bühne,scène,escenario
Q16502,world,Welt,monde,mundo
Q824979,group,Gruppe,groupe,grupo
Q621184,problem,Problem,problème,problema
Q7937,climate,Klima,climat,clima
Q37017,face,Gesicht,visage,cara
Q7949,truth,Wahrheit,vérité,verdad
Q5978719,Diplom,Diplom,Diplom,Diploma
Q2151613,direction,Richtung,direction,dirección
Q430099,gold,gold,or,oro
Q1072012,international,international,international,internacional
Q217602,analysis,Analyse,analyse,análisis
Q11466,temperature,Temperatur,température,temperatura
Q10566551,safety,Sicherheit,sécurité,seguridad
Q3266850,commune,Kommune,commune,comuna
Q39552,pressure,Druck,pression,presión
Q2029841,organization,Organisation,organisation,organización
Q3,life,Leben,vie,vida
Q21146257,type,Typ,type,tipo
Q575,night,Nacht,nuit,noche
Q379825,element,Element,élément,elemento
Q344,future,Zukunft,futur,futuro
Q327245,team,Team,équipe,equipo
Q7860,nature,Natur,nature,naturaleza
Q11402,force,Kraft,force,fuerza
Q178651,interview,Interview,interview,entrevista
Q1313,summer,Sommer,été,verano
Q3503,Congo,Kongo,Congo,Congo
Q9081,knowledge,Wissen,connaissance,conocimiento
Q1292119,style,Stil,style,estilo
Q3505845,state,Zustand,état,estado
Q145746,Joseph,Josef,Joseph,José
Q659,north,Norden,nord,norte
Q289957,Jacob,Jakob,Jacob,Jacob
Q160151,price,Preis,prix,precio
Q1274115,responsibility,Verantwortung,responsabilité,responsabilidad
Q124490,violence,Gewalt,violence,violencia
Q1436734,adventure,Abenteuer,aventure,aventura
Q37654,market,Markt,marché,mercado
Q1979154,model,Modell,modèle,modelo
Q454,peace,Frieden,paix,paz
Q40204814,Artur,Artur,Artur,Артур
Q21170479,possibility,Möglichkeit,possibilité,posibilidad
Q56449214,Maria,Maria,María,Maria
Q82821,tradition,Tradition,tradition,tradición
Q282049,career,Karriere,carrière,carrera
Q23640,head,Kopf,tête,cabeza
Q9332,behavior,Verhalten,comportement,comportamiento
Q26132748,development,Entwicklung,développement,desarrollo
Q192581,job,Tätigkeit,travail,trabajo
Q182832,concert,Konzert,concert,concierto
Q900406,reform,Reform,réforme,reforma
Q42889,vehicle,Fahrzeug,véhicule,vehículo
Q177634,community,Gemeinschaft,communauté,comunidad
Q219160,couple,Paar,couple,pareja
Q61509,travel,Reise,voyage,viaje
Q1074,skin,Haut,peau,piel
Q2251595,protection,Schutz,protection,protección
Q1151067,rule,Regel,règle,regla
Q578,century,Jahrhundert,siècle,siglo
Q8425,society,Gesellschaft,société,sociedad
Q6501338,attention,Aufmerksamkeit,attention,atención
Q11028,information,Information,information,información
Q13196750,left,links,gauche,izquierda
Q215627,person,Person,personne,persona
Q13780930,worldwide,weltweit,mondial,mundial
Q4358176,council,Rat,commission,consejo
Q44167,engine,Motor,moteur,motor
Q1661,verse,Vers,vers,verso
Q82604,design,Design,design,diseño
Q861911,speech,Rede,discours,discurso
Q12147,health,Gesundheit,santé,salud
Q870,train,Zug,train,tren
Q2574811,cause,Ursache,cause,causa
Q17737,theory,Theorie,théorie,teoría
Q182060,office,Büro,bureau,oficina
Q8171,word,Wort,mot,palabra
Q7755,constitution,Verfassung,constitution,Constitución
Q19386377,register,Register,registre,registro
Q12684,fashion,Mode,mode,moda
Q234460,text,Text,texte,texto
Q12819564,station,Station,gare,estación
Q756,plant,Pflanzen,plante,planta
Q601401,trade,Handel,commerce,comercio
Q181888,Khan,Khan,khan,Kan
Q11410,game,Spiel,jeu,juego
Q2920921,management,Management,management,gestión
Q35535,police,Polizei,police,policía
Q4,death,Tod,mort,muerte
Q5119,capital,Hauptstadt,capitale,capital
Q8148,industry,Industrie,industrie,industria
Q82799,name,Name,nom,nombre
Q93288,contract,Vertrag,contrat,contrato
Q1075,color,Farbe,couleur,color
Q988108,club,Verein,club,club
Q2695280,technique,Technik,technique,técnica
Q213441,shop,Laden,magasin,tienda
Q7188,government,Regierung,gouvernement,Gobierno
Q1980247,chapter,Kapitel,chapitre,capítulo
Q30724063,Roman,Roman,Roman,Román
Q8445,marriage,Ehe,mariage,matrimonio
Q133492,letter,Brief,lettre,carta
Q180516,room,Zimmer,salle,habitación
Q2668072,collection,Sammlung,collection,colección
Q11042,culture,Kultur,culture,cultura
Q6256,country,Land,pays,país
Q35663473,Anton,Anton,Anton,Антон
Q126,December,Dezember,décembre,diciembre
Q125,November,November,novembre,noviembre
Q170584,project,Projekt,projet,proyecto
Q11016,technology,Technologie,technologie,tecnología
Q1724915,use,Nutzung,usage,uso
Q118,April,April,avril,abril
Q108,January,Januar,janvier,enero
Q124,October,Oktober,octobre,octubre
Q109,February,Februar,février,febrero
Q7590,transport,Transport,transport,transporte
Q735,art,Kunst,art,arte
Q198,war,Krieg,guerre,guerra
Q119,May,Mai,mai,mayo
Q120,June,Juni,juin,junio
Q123,September,September,septembre,septiembre
Q121,July,Juli,juillet,julio
Q122,August,August,août,agosto
Q282,wine,Wein,vin,vino
Q7748,law,Recht,droit,derecho
Q2983893,quarter,Stadtteil,quartier,quarter
Q1088,blue,blau,bleu,azul
Q151885,concept,Begriff,concept,concepto
Q431289,brand,Marke,marque,marca
Q638,music,Musik,musique,música
Q7727,minute,Minute,minute,minuto
Q8242,literature,Literatur,littérature,literatura
Q1785071,fort,Fort,fort,fuerte
Q180684,conflict,Konflikt,conflit,conflicto
Q336,science,Wissenschaft,science,ciencia
Q11707,restaurant,Restaurant,restaurant,restaurante
Q12284,canal,Kanal,canal,canal
Q189004,college,College,collège,college
Q16513426,decision,Entscheidung,décision,decisión
Q29520,China,China,Chine,China
Q83307,minister,Minister,ministre,ministro
Q287,wood,Holz,bois,madera
Q40080,beach,Strand,plage,playa
Q1019,Madagascar,Madagaskar,Madagascar,Madagascar
Q30461,president,Präsident,président,presidente
Q12769393,end,Ende,fin,fin
Q349,sport,Sport,sport,deporte
Q309,history,Geschichte,histoire,historia
Q577,year,Jahr,année,año
Q467,woman,Frau,femme,mujer
Q23444,white,weiß,blanc,blanco
Q35409,family,Familie,famille,familia
Q751876,château,Schloss,château,château
Q796,Iraq,Irak,Irak,Irak
Q571,book,Buch,livre,libro
Q12078,cancer,Krebs,cancer,cáncer
Q12136,disease,Krankheit,maladie,enfermedad
Q515,city,Stadt,ville,ciudad
Q83460,general,General,général,general
Q33506,museum,Museum,musée,museo
Q901,scientist,Wissenschaftler,scientifique,científico
Q23397,lake,See,lac,lago
Q298,Chile,Chile,Chili,Chile
Q11032,newspaper,Zeitung,journal,periódico
Q847,tennis,Tennis,tennis,tenis
Q1490,Tokyo,Tokio,Tokyo,Tokio
Q39631,physician,Arzt,médecin,médico
Q132,Sunday,Sonntag,dimanche,domingo
Q34442,road,Straße,route,carretera
Q6881511,enterprise,Unternehmen,entreprise,empresa
Q7366,song,Lied,chanson,canción
Q17172850,voice,Stimme,voix,voz
Q668,India,Indien,Inde,India
Q11424,film,Film,film,película
Q188,German,Deutsch,allemand,alemán
Q142,France,Frankreich,France,Francia
Q1860,English,Englisch,anglais,inglés
