id,en,ru
Q4958616,Brazil,Бразилия
Q2532492,bridge,мост
Q102356,brigade,бригада
Q1192679,Brother,Брат
Q991029,Brown,Браун
Q43694649,building,здание
Q16865178,Bureau,Бюро
Q19862406,business,бизнес
Q1026787,California,Калифорния
Q5024796,Cam,Кам
Q57662949,Canada,Канада
Q2383393,candidate,кандидат
Q5119,capital,столица
Q27231602,captain,капитан
Q35156,Car,кар
Q4205426,Carlo,Карло
Q1823077,Carlos,Карлос
Q1724774,castle,замок
Q2352616,catalogue,каталог
Q18869,Caucasus,Кавказ
Q2574811,cause,причина
Q39614,cemetery,кладбище
Q4350743,census,перепись
Q14767,Central,Центральный
Q23595,centre,центр
Q578,century,век
Q1363750,chair,кафедра
Q852061,champion,чемпион
Q1079023,championship,чемпионат
Q1210950,channel,канал
Q1980247,chapter,глава
Q1062934,character,характер
Q2329,chemistry,химия
Q2963205,chi,чи
Q100231196,Chicago,Чикаго
Q20920693,chief,начальник
Q298,Chile,Чили
Q29520,China,Китай
Q2972150,choir,хор
Q642420,Christ,Христос
Q605315,Church,Церковь
Q5727902,circa,около
Q1020994,citizen,гражданин
Q478110,City,Город
Q5127848,class,класс
Q1527956,clause,пункт
Q7937,climate,климат
Q376,clock,часы
Q182949,Club,Клуб
Q41583,coach,тренер
Q188889,code,Код
Q233407,Cody,Коди
Q114264,Cola,кола
Q238053,collision,удар
Q1075,color,цвет
Q868336,Colorado,Колорадо
Q54383,Columbia,Колумбия
Q650711,combat,бой
Q517760,commune,коммуна
Q5154611,community,община
Q102538,company,рота
Q679989,complex,комплекс
Q36834,composer,композитор
Q182832,concert,концерт
Q813912,condition,состояние
Q180684,conflict,конфликт
Q36484,conjunction,союз
Q230629,connection,связь
Q106292183,Constantine,Константин
Q3875186,construction,строительство
Q4489757,consul,консул
Q93288,contract,договор
Q338754,control,контроль
Q107136995,coronel,полковник
Q766219,Cosmos,Космос
Q226565,Costa,Коста
Q4358176,council,совет
Q5176635,count,счёт
Q1754454,Country,Деревня
Q28575,county,графство
Q219160,couple,пара
Q208160,courage,мужество
Q1962728,course,курс
Q1294755,craft,судно
Q1274979,creature,создание
Q6430706,critic,критик
Q40843,cross,крест
Q190395,CSKA,ЦСКА
Q11042,culture,культура
Q245595,cycle,цикл
Q64184224,da,да
Q373498,dan,дан
Q232373,Dana,Дана
Q494756,data,данные
Q308194,daughter,дочь
Q4153579,David,Давид
Q82036801,day,день
Q61993606,de,де
Q4,death,смерть
Q1181693,debut,дебют
Q126,December,декабрь
Q705914,deed,акт
Q11499267,defeat,поражение
Q3021283,degree,степень
Q65953023,del,дель
Q35146979,Denis,Денис
Q29539,density,плотность
Q643589,department,департамент
Q3250324,deputy,заместитель
Q1200750,description,описание
Q41553020,design,дизайн
Q1183543,device,устройство
Q23622,dictionary,словарь
Q13052937,Diocese,епархия
Q5978719,Diplom,диплом
Q193391,diplomat,дипломат
Q2151613,direction,направление
Q1162163,director,директор
Q12346540,disk,диск
Q3030663,Distance,Расстояние
Q5284423,division,дивизион
Q1146067,dizi,ди
Q8561350,Dmitri,Дмитрий
Q4153408,DNA,ДНК
Q1154736,Do,До
Q462390,docent,доцент
Q49848,document,документ
Q1235039,Doktor,Доктор
Q1238889,Don,Дон
Q669057,dot,точка
Q15332388,down,вниз
Q21010853,drama,драма
Q166886,duke,герцог
Q128030,dynamics,динамика
Q338936,Dynamo,Динамо
Q1784355,Earth,Земля
Q684,east,восток
Q159810,economy,экономика
Q397239,edition,издание
Q294083,editor,редактор
Q8772173,Eduard,Эдуард
Q8434,education,образование
Q399620,Egypt,Египет
Q1316633,El,Эль
Q2225,electron,электрон
Q5358816,element,элемент
Q2633778,elevation,Высота
Q39018,emperor,император
Q187587,empire,империя
Q5292,encyclopedia,энциклопедия
Q12769393,end,конец
Q81096,engineer,инженер
Q257294,England,Англия
Q11616958,English,английский
Q6881511,enterprise,предприятие
Q1983062,episode,эпизод
Q513308,Esto,Исто
Q941482,Eugene,Евгений
Q4916,euro,евро
Q1272879,Europa,Европа
Q2165236,everything,всё
Q3179484,ex,бывший
Q14944328,example,пример
Q978044,executive,руководитель
Q464980,exhibition,выставка
Q468777,existence,существование
Q37017,face,лицо
Q188572,fact,факт
Q83405,factory,фабрика
Q180958,faculty,факультет
Q35409,family,семейство
Q773110,Father,Отец
Q109,February,февраль
Q686839,Ferdinand,Фердинанд
Q132241,festival,фестиваль
Q185674,field,поле
Q59916845,Filip,Филип
Q1345898,Filipe,Филипп
Q11424,film,фильм
Q1346054,finale,финал
Q1409462,fire,огонь
Q28469711,first,первый
Q189524,fleet,флот
Q217164,floor,пол
Q229278,Florida,Флорида
Q11402,force,сила
Q5469884,form,форма
Q2085518,format,формат
Q27213,Formula,Формула
Q58091695,fort,крепость
Q157031,foundation,фонд
Q49644,France,Франс
Q18465,Francisco,Франциско
Q1440516,Franco,Франко
Q1450800,François,Франсуа
Q1445951,Franz,Франц
Q227433,Friedrich,Фридрих
Q17297777,friend,друг
Q68345460,front,перед
Q3075154,function,функция
Q11410,game,игра
Q1107656,garden,сад
Q11432,gas,газ
Q355744,General,Генерал
Q7020,genome,геном
Q483394,genre,жанр
Q1173974,Georg,Георг
Q1922630,George,Джордж
Q14864585,Georgi,Георгий
Q2990861,German,Герман
Q1980265,Germania,Германия
Q836299,Gers,Жер
Q24975,Gift,Дар
Q11413,Go,го
Q1317522,goal,гол
Q6058157,god,бог
Q70722524,gold,золото
Q15290,good,добро
Q13650631,Gora,Гора
Q1553864,governance,Управление
Q7188,government,правительство
Q132050,governor,губернатор
Q3660743,Grad,Град
Q2612572,grade,града
Q501518,Gran,Гран
Q141488,graph,граф
Q621467,group,группа
Q1527539,Grzegorz,Григорий
Q798373,guard,защитник
Q2368252,Guards,гвардия
Q6607,guitar,гитара
Q55043,gymnasium,гимназия
Q39373172,half,половина
Q9332842,hall,зал
Q20612001,Hay,Гай
Q21871,Hayes,Э
Q1196074,he,он
Q15824240,head,голова
Q675316,heir,наследник
Q27582995,Helena,Елена
Q564,hell,ад
Q1643184,help,помощь
Q4497249,Henri,Хенри
Q2368705,Henry,Генри
Q403547,Herald,Вестник
Q5742644,hero,герой
Q4137388,Heroes,Герои
Q269949,highway,шоссе
Q201788,historian,историк
Q746583,Histories,История
Q309,history,история
Q1997853,hit,хит
Q3194601,Home,Дом
Q207333,honor,честь
Q653485,hora,хора
Q25235,hour,час
Q11326220,housing,корпус
Q823310,human,люди
Q212878,husband,муж
Q836636,Ibn,ибн
Q131841,idea,идея
Q3071490,Igor,Игорь
Q12547045,Il,Ил
Q1025541,Ilha,Илья
Q4200090,Ima,Има
Q860623,image,образ
Q90219924,in,в
Q1527264,income,доход
Q9073584,increase,рост
Q25472932,index,индекс
Q6019245,India,Индия
Q11028,information,информация
Q1049885,Institute,Институт
Q2402047,insula,остров
Q616314,interest,интерес
Q75,Internet,Интернет
Q178651,interview,интервью
Q2043606,Iran,Иран
Q4203171,Irina,Ирина
Q1674068,Islam,Ислам
Q2419461,Island,Остров
Q234180,Israel,Израиль
Q28869365,issue,выпуск
Q6091500,it,оно
Q353296,Italy,Италия
Q61451148,Ivan,Иван
Q106298871,Ivana,Ивана
Q1676046,Ivanov,Иванов
Q1473852,Jack,Джек
Q941049,Jacques,Жак
Q58902229,Jakov,Яков
Q13160,Jalisco,Халиско
Q361371,Jamal,Ямал
Q864706,James,Джеймс
Q20873891,Jana,Яна
Q108,January,январь
Q17,Japan,Япония
Q1684580,Jean,Жан
Q4175521,Jen,Ен
Q2025445,Jo,Джо
Q192581,job,работа
Q10988221,Johann,Йохан
Q3774043,John,Иоанн
Q3309008,Jones,Джонс
Q29043257,José,Хосе
Q49850,journal,журнал
Q1930187,journalist,журналист
Q18139542,Juan,Хуан
Q121,July,июль
Q120,June,июнь
Q1720908,Kada,Када
Q27168899,Kako,Како
Q17002,Kale,Кале
Q236392,Kao,Као
Q3722569,Kara,Кара
Q656583,Karl,Карл
Q3457684,Karla,Карла
Q89824983,Karolina,Каролина
Q293868,Kato,Като
Q1388078,Kazakhstan,Казахстан
Q229221,Kazan,Казань
Q576829,Kiev,Киев
Q828224,kilometre,километр
Q1049832,Kim,Ким
Q4233803,king,Король
Q36732,kingdom,царство
Q417703,Kongo,Конго
Q295152,Konrad,Конрад
Q18097,Korea,Корея
Q940704,Kosovo,Косово
Q691899,kraj,край
Q404419,Krim,Крым
Q11748190,Kris,Крис
Q4243452,Kuba,Куба
Q2892870,La,Ла
Q23397,lake,озеро
Q26484625,lap,круг
Q59863338,large,большой
Q7142558,Las,Лас
Q30013662,last,последний
Q1054679,laurea,лауреат
Q7748,law,закон
Q1251441,leader,лидер
Q47034857,leaf,лист
Q660818,league,лига
Q1811687,Lee,Ли
Q36253,length,длина
Q648655,Lenin,Ленин
Q2447614,Leningrad,Ленинград
Q159816,Leo,Лев
Q115260,Leon,Леон
Q102249331,Leonid,Леонид
Q133492,letter,письмо
Q1046315,level,уровень
Q21840,Ley,Ле
Q796873,Li,ли
Q29843656,library,библиотека
Q3557866,life,Жизнь
Q225433,Liga,Лига
Q9128,light,свет
Q3832650,linea,линия
Q27948,list,список
Q109607955,literature,литература
Q37,Lithuania,Литва
Q21180534,Lo,Ло
Q79348,London,Лондон
Q23536,Louie,Луи
Q2372107,Love,Любовь
Q36971907,Luiz,Луис
Q13210203,Luka,Лука
Q207497,Macedonia,Македония
Q11019,machine,машина
Q66470,Madrid,Мадрид
Q500062,magnitude,магнитуда
Q11707054,major,майор
Q7382648,majority,большинство
Q442653,Mala,Мала
Q4276660,Malaya,Малая
Q6511994,Mali,Мали
Q2074582,Manchester,Манчестер
Q56404522,many,много
Q60981865,map,карта
Q16427361,Marca,Марка
Q110,March,март
Q255453,Marcus,Марк
Q1575498,Margarita,Маргарита
Q6760975,Maria,Мария
Q1858301,Marie,Мари
Q4281475,Marina,Марина
Q32979284,Marius,Марий
Q17516263,Marko,Марко
Q2780056,Martin,Мартин
Q214609,material,материал
Q395,mathematics,математика
Q1285892,Max,Макс
Q56539802,Maxime,Максим
Q10578722,maximum,максимум
Q119,May,май
Q12894677,means,средство
Q578002,Mecklenburg,Мекленбург
Q131647,medal,медаль
Q11190,medicine,медицина
Q2761147,meeting,собрание
Q492,memory,память
Q628523,message,сообщение
Q21504639,Messier,Мессье
Q2991177,metal,металл
Q630649,meter,метр
Q815844,method,метод
Q189854,metropolitan,митрополит
Q178652,Mexico,Мексико
Q4292648,Mi,Ми
Q6828032,Michael,Майкл
Q79861,Michoacán,Мичоакан
Q34380480,Mikhail,Михаил
Q16873817,Milan,Милан
Q8473,military,армия
Q450,mind,ум
Q83307,minister,министр
Q356012,Minsk,Минск
Q7727,minute,минута
Q578668,Mir,Мир
Q974850,missile,ракета
Q1979154,model,модель
Q44613,monastery,монастырь
Q1368,money,деньги
Q733059,Mongol,Монгол
Q1092777,Monsieur,Месье
Q5151,month,месяц
Q4989906,monument,памятник
Q521164,mora,мора
Q108177135,Moscow,Москва
Q3005765,Mother,Мать
Q4300759,motion,движение
Q8502,mountain,гора
Q54935824,move,ход
Q1573070,München,Мюнхен
Q15284,municipality,муниципалитет
Q48322275,Museum,Музей
Q638,music,музыка
Q20017798,Na,На
Q1414230,nai,най
Q1063221,Napoleon,Наполеон
Q21818619,near,близ
Q986291,net,сеть
Q21075795,never,никогда
Q11032,newspaper,газета
Q37465816,Nie,Най
Q575,night,ночь
Q4320092,Nikola,Никола
Q79586,Nikolai,Николай
Q1814990,no,нет
Q503992,nominal,имя
Q659,north,север
Q4321918,Nova,Новая
Q4323734,Nove,Новое
Q8261,novel,роман
Q125,November,ноябрь
Q224185,Novgorod,Новгород
Q993575,Novi,Нови
Q449179,Novo,Ново
Q2003743,Nowy,Новый
Q14916053,number,номер
Q175727,Ob,Обь
Q216601,object,объект
Q9430,ocean,океан
Q3880781,October,Октябрь
Q2214183,Odin,Один
Q61022630,officer,офицер
Q29509043,official,официально
Q28962312,often,часто
Q20021675,Oh,О
Q1427085,okrug,округ
Q4333464,Oleg,Олег
Q3475226,Olga,Ольга
Q226361,On,Он
Q20433871,ona,Она
Q5345079,Oni,Они
Q73368,online,онлайн
Q3354534,opera,опера
Q209577,Operation,операция
Q3354588,operator,оператор
Q3962655,opinion,мнение
Q42998,orchestra,оркестр
Q10861678,order,порядок
Q2352630,Ordet,Слово
Q2029863,Organ,Орган
Q43229,organization,организация
Q205653,Orient,Восток
Q53737447,originally,изначально
Q21541710,Oscar,Оскар
Q86630688,Other,другие
Q362347,output,выход
Q208029,Pa,Па
Q1069725,page,страница
Q1028181,painter,художник
Q3305213,painting,картина
Q16560,palace,дворец
Q938236,panel,комитет
Q253272,Papa,Папа
Q2304774,par,пар
Q1451948,Paris,Париж
Q1451052,Park,Парк
Q35749,parliament,парламент
Q7401,part,партия
Q56512863,participant,участник
Q1686000,party,сторона
Q184951,Pasha,паша
Q105773168,passes,проходит
Q1415372,path,путь
Q1518011,Paul,Пол
Q2019552,Pavel,Павел
Q14379449,Pavla,Павла
Q2066425,Pedro,Педро
Q2472587,people,народ
Q174173,Per,Пер
Q672154,Period,период
Q915,Perm,Пермь
Q965135,Peru,Перу
Q97362242,Petar,Петар
Q15897830,Petr,Петр
Q27102749,Petra,Петра
Q2080626,Petro,Петро
Q2080786,Petrov,Петров
Q346598,Pfalz,Пфальц
Q5891,philosophy,философия
Q202064,phone,фон
Q39631,physician,врач
Q413,physics,физика
Q5994,piano,фортепиано
Q1237447,Pieter,Питер
Q4386188,Pietro,Пётр
Q611203,plan,план
Q756,plant,растения
Q75520,plateau,плато
Q666258,platform,платформа
Q4197743,player,игрок
Q214917,playwright,драматург
Q1758354,plot,сюжет
Q1237677,Po,По
Q49757,poet,поэт
Q1550236,point,очки
Q36,Poland,Польша
Q2180428,pole,шест
Q82955,politician,политик
Q7163,politics,политика
Q858321,port,порт
Q134307,portrait,портрет
Q415558,Portugal,Португалия
Q3399648,position,позиция
Q21170479,possibility,возможность
Q30230067,possibly,возможно
Q4375349,Post,Почта
Q26051996,Powers,власти
Q10354783,practice,практика
Q16591111,Praga,Прага
Q349793,Premier,Премьер
Q204854,première,премьера
Q24255051,presence,наличие
Q19886321,President,Президент
Q2747456,prince,принц
Q13365589,principal,главный
Q211364,principle,принцип
Q5257307,prize,премия
Q56644435,probably,вероятно
Q621184,problem,проблема
Q205663,process,процесс
Q47541952,producer,продюсер
Q36492844,production,производство
Q1796457,Produkt,продукт
Q495871,professor,профессор
Q4303335,program,программа
Q526384,Project,Проект
Q2252274,Protection,защита
Q106531650,province,провинция
Q2085381,publisher,издательство
Q309314,quantity,количество
Q189756,question,вопрос
Q1052397,rad,рад
Q2323591,rada,рада
Q1068540,Radio,Радио
Q4120621,rank,ранг
Q28962310,rarely,редко
Q93420,Real,Реал
Q2470517,record,структура
Q37252716,Red,Ред
Q61306374,regime,режим
Q52371,regiment,полк
Q3423535,regio,область
Q19386377,register,реестр
Q354989,Reina,Рейн
Q277521,relation,отношение
Q2144962,repair,ремонт
Q11997597,representative,представитель
Q7314380,Republic,Республика
Q42240,research,исследование
Q2995644,result,результат
Q10931,revolution,революция
Q3242115,revolutionary,революционер
Q7323531,Richard,Ричард
Q11344137,Right,право
Q28916407,Rim,Рим
Q1850968,Rio,Рио
Q4022,river,река
Q34442,road,дорога
Q1294462,Robert,Роберт
Q1862822,Roberta,Роберта
Q1986441,Rod,Род
Q1707847,role,роль
Q406506,Roman,Роман
Q230475,Rostov,Ростов
Q60070514,roughly,примерно
Q1366302,row,запись
Q398720,Russia,Россия
Q2438411,Russian,Русский
Q1022038,Sá,Са
Q3461063,Sad,Сад
Q48068543,Saint,святой
Q7407058,Sam,Сам
Q932640,Same,Саме
Q295168,Samo,Само
Q2794117,San,Сан
Q28504393,Santa,Санта
Q4408215,Sara,Сара
Q27505,Saxony,Саксония
Q1090839,scenario,сценарий
Q282939,scene,сцена
Q501661,Schleswig,Шлезвиг
Q3914,school,школа
Q336,science,наука
Q901,scientist,учёный
Q2579357,Scott,Скотт
Q28389,screenwriter,сценарист
Q1281618,sculptor,скульптор
Q165,sea,море
Q257102,Seal,Сил
Q3400492,season,сезон
Q28469712,second,второй
Q319544,secretary,секретарь
Q39971877,selection,отбор
Q343975,Selo,Село
Q360083,Sen,Сен
Q2271355,Sent,Сент
Q2509500,sentence,предложение
Q123,September,сентябрь
Q70555,Sergey,Сергей
Q12562111,series,серия
Q1220872,service,служба
Q1514741,set,множество
Q1270787,she,она
Q11128762,shi,ши
Q213441,shop,магазин
Q468756,shore,побережье
Q184737,Sign,знак
Q2150504,signal,сигнал
Q577086,Sin,Син
Q177220,singer,певец
Q134556,single,сингл
Q595094,sister,сестра
Q1199068,Site,Сайт
Q322481,size,размер
Q527,sky,небо
Q21079662,Smith,Смит
Q8425,society,общество
Q1985430,Sofia,София
Q1199937,Sol,Сол
Q4991371,soldier,солдат
Q270827,solo,соло
Q1879813,solution,решение
Q2361916,som,сум
Q4447940,Son,Сын
Q7366,song,песня
Q11461,sound,звук
Q667,south,юг
Q129235,Soviet,Совет
Q225732,Soyuz,Союз
Q2133296,space,пространство
Q20820613,Spain,Испания
Q4430701,Spartak,Спартак
Q705338,species,вид
Q3711325,speed,скорость
Q193291,spirit,дух
Q349,sport,спорт
Q207063,squad,отделение
Q483110,stadium,стадион
Q1809541,staff,штат
Q294626,Stalin,Сталин
Q4439316,stan,стан
Q5849904,standard,стандарт
Q4439379,Stanislav,Станислав
Q17504209,star,звезда
Q2097233,station,станция
Q12483,statistics,статистика
Q1327819,Status,Статус
Q54563725,Stephen,Стефан
Q12803520,Stjepan,Степан
Q79007,street,улица
Q249655,Stuart,Стюарт
Q9347372,studies,обучение
Q1292119,style,стиль
Q7632586,success,успех
Q43292,Sultan,султан
Q18683955,Summer,лето
Q34,Sweden,Швеция
Q39,Switzerland,Швейцария
Q12791,sword,меч
Q2372244,symbol,символ
Q58778,system,система
Q1770792,Systema,Система
Q24515272,Table,Таблица
Q275758,Tak,Так
Q1298138,Tako,Тако
Q27178451,Tala,Така
Q12876,tank,танк
Q759676,task,задача
Q1317239,Tatiana,Татьяна
Q2333151,tau,тау
Q327245,team,команда
Q2695280,technique,техника
Q1938377,tee,ти
Q399448,telephone,Телефон
Q19281,Tem,Тем
Q11466,temperature,температура
Q44539,temple,храм
Q107136886,teniente,лейтенант
Q1969448,term,термин
Q3518514,terra,земля
Q4835091,territory,территория
Q1689278,Text,текст
Q397234,Theatre,Театр
Q18086706,themselves,себя
Q316548,Theodore,Теодор
Q17737,theory,теория
Q7783619,they,они
Q28469713,third,третий
Q47498323,This,Это
Q3498229,Thomas,Томас
Q189233,throne,трон
Q417061,Tiempo,время
Q4457302,Tim,Тим
Q14566918,Time,Время
Q783521,title,название
Q3151690,today,сегодня
Q98825298,Together,Вместе
Q1323381,Togo,Того
Q396867,Tokyo,Токио
Q56043013,Tom,Том
Q9614,tongue,язык
Q247046,Tony,Тони
Q1435365,top,топ
Q22338337,topic,тема
Q736775,Toronto,Торонто
Q4120994,Toshkent,Ташкент
Q1320634,tournament,турнир
Q21593128,Toy,Той
Q321102,trace,след
Q7553,translation,перевод
Q7590,transport,транспорт
Q811480,tree,дерево
Q159675,tributary,приток
Q2543870,Tribute,Награда
Q106518494,Truth,Правда
Q2606926,Tu,Ту
Q398953,Tur,Тур
Q1715478,Turkey,Турция
Q2463013,Type,Тип
Q35572,UEFA,УЕФА
Q77402577,Ukraine,Украина
Q7809,UNESCO,ЮНЕСКО
Q2198779,unit,единица
Q3918,university,университет
Q3173690,Ural,Урал
Q1098,uranium,уран
Q3721590,Usa,Уса
Q1724915,use,использование
Q4102790,Valentin,Валентин
Q917317,Valentine,Валентина
Q2912517,value,значение
Q227024,Van,Ван
Q29535355,Vaux,Во
Q98852254,Venus,Венера
Q2513229,Vera,Вера
Q105062328,version,версия
Q19918195,Victor,Виктор
Q2320676,Victoria,Виктория
Q50000,victory,победа
Q613489,Vid,Вид
Q51049922,village,деревня
Q4113019,Vladimir,Владимир
Q7293934,Vladislav,Владислав
Q2529757,vocal,вокал
Q7390,voice,голос
Q219132,Volga,Волга
Q105763458,volume,том
Q198,war,война
Q7970881,Warsaw,Варшава
Q25301,Washington,Вашингтон
Q2637515,water,вода
Q4309243,We,Мы
Q728,weapon,оружие
Q35127,website,сайт
Q225822,West,Вест
Q35059,width,ширина
Q188830,wife,жена
Q2419320,William,Уильям
Q18560095,winner,победитель
Q467,woman,женщина
Q2594083,word,слово
Q1171840,work,произведение
Q327055,worker,работник
Q16502,world,мир
Q36180,writer,писатель
Q912068,Wu,У
Q8046225,Ya,Я
Q485653,Yan,Ян
Q1623285,yard,двор
Q709443,Ye,Е
Q577,year,год
Q16256883,Yong,Ён
Q6170282,York,Йорк
Q1165897,you,вы
Q18420741,Yu,Ю
Q36704,Yugoslavia,Югославия
Q43261855,Yuri,Юрий
Q1435,Zagreb,Загреб
Q219858,zone,зона
