id,en,ja
Q379825,element,元
Q1512164,Licht,光
Q703401,Quan,全
Q2994612,Gong,公
Q17278,circle,円
Q170984,crown,冠
Q28308495,winter,冬
Q4261869,Ling,凌
Q946182,Frost,凍
Q781952,Rin,凛
Q330946,blade,刃
Q7727,minute,分
Q241124,Row,列
Q12791,sword,剣
Q11402,force,力
Q10901565,Bao,包
Q26231168,Kita,北
Q1195098,ward,区
Q869595,Horse,午
Q6850693,soldier,卒
Q667,south,南
Q844723,Rabbit,卯
Q1861857,Egg,卵
Q61055716,cash,厘
Q26000356,Gen,原
Q9635,mouth,口
Q187931,phrase,句
Q2709287,support,台
Q14565199,right,右
Q11412232,shi,司
Q191536,conjunction,合
Q20017794,Gill,吉
Q20021675,Oh,呉
Q6841074,He,和
Q4519999,Shang,商
Q9656852,Wen,問
Q15290,good,善
Q845673,Shan,單
Q4925193,lie,嘘
Q6256,country,国
Q719395,category,圏
Q99476781,Sono,園
Q11081619,land,地
Q15466213,slope,坂
Q3979874,Typ,型
Q23413,castle,城
Q185674,field,場
Q12518,tower,塔
Q12370,salt,塩
Q381885,tomb,墓
Q42948,wall,壁
Q104513742,Bà,壩
Q6835441,guard,士
Q2519475,Hen,変
Q28308492,summer,夏
Q2987501,Kui,夔
Q7725,evening,夕
Q23017977,Noch,夜
Q36348,dream,夢
Q1364799,Tian,天
Q18070690,Tae,太
Q212878,husband,夫
Q17226533,Woman,女
Q188830,wife,妻
Q2233698,Yao,姚
Q1948499,Jiang,姜
Q308194,daughter,娘
Q104223884,Na,娜
Q10943807,Lou,婁
Q103658233,Chan,嬋
Q65933004,child,子
Q20204151,hole,孔
Q13222290,Son,孫
Q45749,An,安
Q1065073,Song,宋
Q12586035,general,宮
Q740762,Tiger,寅
Q200535,wealth,富
Q876237,cun,寸
Q4533456,You,尤
Q60960,tail,尾
Q34740,genus,属
Q8502,mountain,山
Q1319681,Qi,岐
Q468756,shore,岸
Q39241492,Mine,峰
Q2419461,Island,島
Q16056287,Choi,崔
Q81054,storm,嵐
Q4022,river,川
Q1070912,Zhou,州
Q11056346,Chao,巣
Q13196750,left,左
Q65925401,Ju,巨
Q29896155,difference,差
Q13581151,Ji,己
Q756692,Snake,巳
Q1238720,volume,巻
Q26449964,Sen,巽
Q26986325,Fan,帆
Q2207370,seat,席
Q2240226,Chang,常
Q35059,width,幅
Q1092296,annum,年
Q30098034,Hiroshi,広
Q217164,floor,床
Q575724,Base,底
Q213441,shop,店
Q1359207,degree,度
Q1623285,yard,庭
Q3594969,Kang,康
Q46311,bow,弓
Q326426,string,弦
Q147572,arc,弧
Q12599518,Bin,彬
Q65925376,Zhang,彰
Q2648415,Shadows,影
Q37221,diameter,径
Q2650109,Xu,徐
Q450,mind,心
Q11074262,Ying,応
Q8003894,Xi,息
Q15292,evil,悪
Q316,love,愛
Q211101,voice,態
Q755126,Dog,戌
Q11074526,Cheng,成
Q11496198,ko,戸
Q36794,door,扉
Q33767,hand,手
Q255021,Largo,拍
Q17500788,Zhao,招
Q107096990,Chí,持
Q620207,finger,指
Q40105218,Ban,播
Q11499051,Masa,政
Q848250,yu,敔
Q11563,number,数
Q289891,enemy,敵
Q613299,statement,文
Q1078168,to,斗
Q39397,axe,斧
Q10302595,Si,斯
Q11504434,Travel,旅
Q227936,tribe,族
Q14660,flag,旗
Q573,day,日
Q11511606,Asahi,旭
Q13080849,Ming,明
Q28308491,spring,春
Q11514229,Subaru,昴
Q11247879,Akira,晃
Q93740179,Kei,景
Q95885192,Jing,晶
Q12132,calendar,暦
Q6403536,Qu,曲
Q284964,Cao,曹
Q5151,month,月
Q65925562,Lang,朗
Q7722,morning,朝
Q568683,age,期
Q272735,tree,木
Q106669127,Moto,本
Q715935,Park,朴
Q27165982,Ki,李
Q712597,article,条
Q2743326,figure,杢
Q684,east,東
Q268146,Board,板
Q26000618,Rimu,林
Q2923673,branch,枝
Q11108068,Bai,柏
Q4817,column,柱
Q13391498,Liu,柳
Q27166866,Ei,栄
Q1196314,stock,株
Q574844,kernel,核
Q41500,root,根
Q128234,case,格
Q39256779,Sai,栽
Q11537657,Sakura,桜
Q2368656,Liang,梁
Q712260,Mei,梅
Q800093,ridge,棟
Q11539051,Mori,森
Q1192347,Chu,楚
Q104374131,Nan,楠
Q249104,Pole,極
Q14551913,hi,樋
Q10289,barrel,樽
Q2741056,cabinet,櫃
Q1015565,Ou,欧
Q775842,desire,欲
Q28692301,Bu,武
Q4,death,死
Q17055707,Eun,殷
Q3481047,ratio,比
Q28472,hair,毛
Q1194940,Di,氐
Q283,water,水
Q2648411,Ice,氷
Q85881772,Hàn,汗
Q27168992,Chi,池
Q42962,oil,油
Q1206847,Fountain,泉
Q7748,law,法
Q65926059,Ní,泥
Q4449798,tài,泰
Q490329,dong,洞
Q854795,Hong,洪
Q26437196,Ho,浦
Q11150514,Hai,海
Q40104624,Dan,淡
Q15890397,Qing,清
Q28692299,Sei,済
Q23397,lake,湖
Q832915,Tang,湯
Q39594,bay,湾
Q185789,drop,滴
Q11565483,Kan,漢
Q4344508,Pan,潘
Q40105175,Nada,灘
Q3196,fire,火
Q152079,ash,灰
Q44946,point,点
Q10877982,Wu,烏
Q1376585,Mu,無
Q65926185,Wei,煒
Q130768,smoke,煙
Q44432,heat,熱
Q17229145,Father,父
Q397239,edition,版
Q773860,Kiba,牙
Q636109,property,物
Q40103790,Kari,狩
Q108916104,Takeshi,猛
Q804542,Baku,獏
Q13579839,Ok,玉
Q20021676,Wang,王
Q10793819,Min,珉
Q838611,ball,球
Q11086494,kin,琴
Q161172,ring,環
Q15224724,nephew,甥
Q740674,Monkey,申
Q36732,kingdom,界
Q251777,custom,癖
Q23444,white,白
Q36602,order,目
Q21040055,aspect,相
Q131559,shield,盾
Q192350,ministry,省
Q264441,Bezirk,県
Q7364,eye,眼
Q22731,stone,石
Q34679,sand,砂
Q1785071,fort,砦
Q106832419,Lei,磊
Q26450020,Iso,磯
Q796873,Li,礼
Q26439563,Jin,神
Q132241,festival,祭
Q2281015,Lu,禄
Q7953,Zen,禅
Q985855,Wan,萬
Q28308494,autumn,秋
Q35409,family,科
Q11574,second,秒
Q58326677,jo,𥝱
Q26216323,Chin,秦
Q7432,species,種
Q919107,product,積
Q527,sky,空
Q35473,window,窓
Q7559,dragon,竜
Q11405,flute,笛
Q1062658,node,節
Q1419626,tube,管
Q188075,box,箱
Q201097,basket,籠
Q5090,rice,米
Q226571,System,系
Q11472,paper,紙
Q27839441,purple,紫
Q37517,class,綱
Q504825,net,網
Q3133,green,緑
Q1439716,fou,缶
Q7242,beauty,美
Q8364380,Yi,翳
Q4242848,Wings,翼
Q7362,ear,耳
Q14475779,Xiao,肖
Q16363,shoulder,肩
Q7886,lung,肺
Q2733626,cell,胞
Q133105,leg,脚
Q719458,brain,脳
Q43471,arm,腕
Q9597,abdomen,腹
Q176088,membrane,膜
Q37425,knee,膝
Q12829829,pus,膿
Q9614,tongue,舌
Q27177991,Tate,舘
Q109903880,mai,舞
Q16391167,vessel,船
Q34632663,Makoto,良
Q1075,color,色
Q97573281,Yan,艷
Q18697694,Ye,芮
Q4540160,Hua,花
Q81422241,Fang,芳
Q220869,shoot,芽
Q6097,tea,茶
Q27167132,Ara,荒
Q2986401,Lai,莱
Q106857866,Kaya,萱
Q33971,leaf,葉
Q5135523,closure,蓋
Q1025803,Cai,蔡
Q6445494,kura,蔵
Q2662728,Bo,薄
Q63345601,Sa,薩
Q20038350,Ai,藍
Q26449309,Fuji,藤
Q841985,domain,藩
Q15940604,Lin,藺
Q7549018,So,蘇
Q1077710,Shen,蜃
Q43511741,Ari,蟻
Q60316463,Blood,血
Q4736436,line,行
Q105562,opposition,衝
Q278425,table,表
Q1323314,bag,袋
Q4385666,inverse,裏
Q679,west,西
Q7566,parent,親
Q82025,horn,角
Q1091366,Ci,詞
Q5185279,poem,詩
Q1175895,Speech,話
Q8171,word,語
Q39816,valley,谷
Q5359297,Elephant,象
Q814607,Bei,貝
Q28877,goods,財
Q5257307,prize,賞
Q1472357,Fu,賦
Q108337709,Nie,贄
Q1512994,Red,赤
Q15807,foot,足
Q154425,toe,趾
Q321102,trace,跡
Q21824871,ro,路
Q4518490,Che,車
Q19855418,Jun,軍
Q26382,side,辺
Q23387,week,週
Q1366002,path,道
Q65925757,Hán,邯
Q2585219,Pi,邳
Q865993,Bing,邴
Q227007,Zhu,邾
Q20113851,gun,郡
Q4140836,Guo,郭
Q15952682,Ni,郳
Q3700011,kecamatan,郷
Q13391603,Du,都
Q2578531,Deng,鄧
Q197598,Zheng,鄭
Q11158,acid,酸
Q483519,ri,里
Q309314,quantity,量
Q26446648,Kane,金
Q677,iron,鉄
Q204260,plane,鉋
Q708,lead,鉛
Q1090,silver,銀
Q753,copper,銅
Q830004,bit,銜
Q125356,saw,鋸
Q11427,steel,鋼
Q168432,anchor,錨
Q131154,hoe,鍬
Q471771,key,鍵
Q2397485,chain,鎖
Q50414774,armor,鎧
Q35197,mirror,鏡
Q101401,bell,鐘
Q26448532,Naga,長
Q334460,division,門
Q15890641,ge,閣
Q823101,que,闕
Q246357,Chen,陳
Q43610098,Sue,陶
Q831691,story,階
Q2650114,Sui,随
Q17218193,Yuki,雪
Q8074,cloud,雲
Q37477,fog,霧
Q1088,blue,青
Q444269,men,面
Q368584,saya,鞘
Q4384185,Han,韓
Q11461,sound,音
Q1980247,chapter,章
Q5727902,circa,頃
Q2185614,argument,項
Q23640,head,頭
Q43610294,Rai,頼
Q3916723,Face,顔
Q8094,wind,風
Q213449,eating,食
Q10894630,Yang,養
Q27180886,Date,館
Q4178159,Rao,饒
Q9633,neck,首
Q202664,Feng,馮
Q12819564,station,駅
Q830869,bridge,駒
Q265868,bone,骨
Q27178459,Takashi,高
Q16265049,Oni,鬼
Q5974316,Kai,魁
Q2373471,Ao,鰲
Q188488,scale,鱗
Q104882021,Dove,鳩
Q2068842,Peng,鵬
Q3112866,gull,鷗
Q2292021,Eagle,鷲
Q30335559,koji,麹
Q2650142,Huang,黄
Q17244465,black,黒
Q10931275,Mo,墨
Q1204499,Ding,鼎
Q2751034,mouse,鼠
Q7363,nose,鼻
Q2772822,Long,龍
