_id,en,en_alias,de,de_alias,count
P4101,dissertation submitted to,thesis submitted to,Dissertation vorgelegt bei,Abschlussarbeit eingereicht bei,69721
P2360,intended public,for audience of,beabsichtigte Öffentlichkeit,für Publikum von,7870
P547,commemorates,in honor of,gedenkt,zu Ehren von,26003
P7604,supervised by,is supervisee of,Vorgesetzter von,ist Betreuer von,77
P793,significant event,notable event,Schlüsselereignis,wichtiges Ereignis,454879
P3032,adjacent building,located next to,Nebengebäude,gelegen neben,5242
P1411,nominated for,nominee for,nominiert für,Kandidat für,68638
P1596,penalty,punishment,Strafe,Bestrafung,1918
P3373,sibling,is sibling of,Geschwister,ist Geschwisterteil von,407131
P5030,talk show guest,participant in talk show,Talkshow-Gast,Teilnehmer einer Talkshow,15550
P1027,conferred by,awarded by,verliehen von,vergeben von,15110
P941,inspired by,inspiration,inspiriert von,Inspiration,5758
P1877,after a work by,inspiring artist,nach einer Arbeit von,inspirierender Künstler,12339
P4969,derivative work,is the basis for,abgeleitete Arbeit,ist die Grundlage für,19804
P520,armament,armed with,Bewaffnung,bewaffnet mit,5520
P1028,donated by,gift of,gespendet von,Geschenk von,9673
P3452,inferred from,implied by,abgeleitet von,abgeleitet aus,2
P40,child,offspring,Kind,Nachwuchs,1551742
P3113,does not have part,lacks,enthält nicht,hat nicht,499
P1478,has immediate cause,immediate effect of,hat unmittelbare Ursache,sofortige Wirkung von,125023
P2964,right to vote,suffrage,Wahlrecht,wahlberechtigt,68
P127,owned by,belongs to,Eigentümer,gehört,466709
P6153,research site,location of research,Forschungsstandort,Ort der Forschung,266976
P4878,symbolizes,symbol for,symbolisiert,Symbol für,51
P17,country,sovereign state,Land,souveräner Staat,14800490
P6477,does not have quality,lacks quality,Mangel an,ermangelt an,344
P9883,created for,made for,produziert für,gemacht für,35
P19,place of birth,born at,Geburtsort,geboren in,3035164
P286,head coach,coached by,Cheftrainer,trainiert von,53908
P501,enclave within,enclosed by,Enklave in,umschlossen von,249
P4675,appears in the form of,takes the form of,angenommene Gestalt,erscheint als,373
P3179,territory overlaps,partially contains territorial extent,Gebiet überschneidet sich mit,Territorium überschneidet sich mit,8370
P1429,has pet,owns pet,hat Haustier,besitzt Haustier,318
P1591,defendant,accused,Angeklagter,Beschuldigter,4610
P1703,is pollinated by,pollinator,wird bestäubt von,Bestäuber,79
P2579,studied by,researched by,studiert von,recherchiert von,5967
P371,presenter,hosted by,Moderator,veranstaltet von,36107
P9899,music created for,music composed for,Musik gemacht für,Musik komponiert für,182
P5004,in opposition to,opposes,in Opposition zu,widerspricht,461
P725,voice actor,voiced by,Synchronsprecher,gesprochen von,63208
P460,said to be the same as,may be equal to,wird gleichgesetzt mit,dasselbe wie,285208
P459,determination method,determined by,Bestimmungsmethode,bestimmt durch,329
P749,parent organization,subsidiary of,übergeordnete Organisation,Tochterunternehmen von,122549
P1891,signatory,signed by,Unterzeichner,unterzeichnet von,17166
P360,is a list of,lists,ist eine Liste von,Listen,249192
P2842,place of marriage,married at,Ort der Eheschließung,geheiratet in,3
P1269,facet of,aspect of,Facette von,Aspekt von,114378
P1640,curator,curated by,Kurator,kuratiert von,1600
P366,has use,purpose,hat Verwendung,Zweck,91908
P1046,discovery method,detection method,Entdeckungsmethode,Nachweisverfahren,4253
P1441,present in work,appears in,kommt vor in,erwähnt in,126749
P676,lyrics by,lyricist,Songtexte von,Texter,41728
P826,tonality,in key,Tonalität,in der Tonart,5039
P1652,referee,umpire,Schiedsrichter,Spielleiter,19997
P1542,has effect,causes,Ursache von,verursacht,5715
P1589,lowest point,deepest point,tiefster Punkt,niedrigster Punkt,512
P924,possible treatment,therapy,mögliche Behandlung,Therapie,699
P3095,practiced by,done by,praktiziert von,ausgeführt von,4814
P9660,not found in,not attested in,nicht gefunden in,nicht bezeugt in,11878
P1536,immediate cause of,has immediate effect,unmittelbare Ursache für,hat sofortige Wirkung,18761
P1535,used by,played by,benutzt von,gespielt von,9765
P1479,has contributing factor,indirectly caused by,hat mitwirkenden Faktor,indirekt verursacht durch,588
P669,located on street or square,is on,an der Straße oder am Platz gelegen,ist an,164995
P8001,endorsed by,supported by,befürwortet von,unterstützt durch,195
P8411,set in environment,takes place in,Umgebung der Handlung,spielt in,15928
P748,appointed by,named by,ernannt durch,ernannt von,5538
P8738,permits,does not prohibit,erlaubt,autorisiert,23
P872,printed by,printer,gedruckt von,Drucker,2905
P4967,prerequisite,requirement,Voraussetzung,Erfordernis,191
P552,handedness,dominant hand,Händigkeit,dominante Hand,2257
P1557,manifestation of,realization of,Manifestation von,Realisierung von,2120
P789,edibility,palatiblity,Genießbarkeit,Essbarkeit,792
P4032,reviewed by,examined by,überprüft von,untersucht von,510
P144,based on,derived from,basiert auf,abgeleitet von,52294
P50,author,written by,Autor,geschrieben von,22762513
P1268,represents,stands for,repräsentiert,steht für,5411
P5021,assessment,examination,Bewertung,Untersuchung,25144
P1346,winner,won by,Gewinner,gewonnen durch,246743
P2384,statement describes,statement about,Aussage beschreibt,Aussage über,197
P248,stated in,source of claim,nachgewiesen in,angegeben in,785
P887,based on heuristic,heuristically based on,basierend auf Heuristik,heuristisch basierend auf,1
P9192,sensors,detector,Sensoren,Detektor,174
P6291,advertises,promotes,bewirbt,fördert,866
P1593,defender,attorney,Verteidiger,Rechtsanwalt,278
P4791,commanded by,has commander,befohlen von,hat Kommandant,3546
P175,performer,played by,Künstler,gespielt von,499822
P937,work location,working at,Arbeitsplatz,arbeitet bei,339031
P8956,compatible with,supports,kompatibel mit,unterstützt,222
P610,highest point,zenith,höchster Punkt,Zenit,5503
P807,separated from,seceded from,abgesondert von,abgespalten von,2321
P737,influenced by,has influence,beeinflusst von,Einflüsse,18552
P1830,owner of,owns,Besitzer von,besitzt,45238
P162,producer,produced by,Produzent,produziert von,181055
P86,composer,composed by,Komponist,komponiert von,188471
P7047,enemy of,opponent of,Feind von,Gegner von,3809
P8627,closing time,closes at,Schließzeit,Geschlossen um,7
P2770,source of income,income source,Einkommensquelle,Einkommensherkunft,500
P4794,season starts,season begins,Saison startet,Saison beginnt,2049
