_id,en,en_alias,de,de_alias,count
P1774,workshop of,studio of,Werkstatt von,Atelier von,7
P9237,reissue of,re-release,Wiederveröffentlichung,Re-Release,202
P915,filming location,filmed at,Drehort,gedreht in,32299
P193,main building contractor,constructed by,Generalbauunternehmer,Bauunternehmen,2904
P945,allegiance,loyalty,Treuepflicht,Loyalität,60876
P4647,location of first performance,first performed at,Ort der Uraufführung oder Erstausstrahlung,Ort der Erstausstrahlung,18266
P1399,convicted of,found guilty of,verurteilt wegen,für schuldig befunden von,10528
P512,academic degree,diploma,akademischer Grad,Titel,132400
P4220,order of battle,battle formation,Schlachtordnung,Battle-Formation,409
P126,maintained by,administered by,Betreuer,Instandhaltung,528563
P1552,has quality,has property,charakterisiert durch,bestimmende Eigenschaft,173308
P5009,complies with,conforms to,erfüllt,besteht,163
P176,manufacturer,made by,Hersteller,Werft,130741
P2849,produced by,secreted by,produziert durch,abgesondert von,272
P6758,supported sports team,is a fan of team,unterstützt Sportmannschaft,ist Fan von,710
P5059,modified version of,modification of,modifizierte Version von,Adaptation von,1466
P655,translator,is translated by,Übersetzer,Übersetzerin,18384
P912,has facility,has amenity,verfügt über Einrichtung,hat Annehmlichkeit,16547
P3014,laws applied,legal base,angewendete Gesetze,Rechtsgrundlage,173
P4101,dissertation submitted to,thesis submitted to,Abschlussarbeit eingereicht bei,Dissertation eingereicht bei,69721
P2360,intended public,for audience of,Zielgruppe,für Publikum von,7870
P547,commemorates,in honor of,erinnert an,gedenkt,26003
P7604,supervised by,is supervisee of,Vorgesetzter,ist Betreuer von,77
P793,significant event,notable event,Schlüsselereignis,Ereignis,454879
P3032,adjacent building,located next to,Nachbargebäude,benachbartes Gebäude,5242
P1411,nominated for,nominee for,nominiert für,Kandidat für,68638
P1596,penalty,punishment,Strafe,Bestrafung,1918
P3373,sibling,is sibling of,Geschwister,Bruder oder Schwester,407131
P5030,talk show guest,participant in talk show,Talkshowgast,Gast der Talkshow,15550
P1027,conferred by,awarded by,verliehen von,vergeben von,15110
P941,inspired by,inspiration,inspiriert von,Vorbild,5758
P1877,after a work by,inspiring artist,nach einem Werk von,inspirierender Künstler,12339
P4969,derivative work,is the basis for,abgeleitetes Werk,ist die Basis für,19804
P520,armament,armed with,Bewaffnung,bewaffnet mit,5520
P1028,donated by,gift of,gespendet von,Stifter,9673
P3452,inferred from,implied by,abgeleitet von,inferiert von,2
P40,child,offspring,Kind(er),Tochter,1551742
P3113,does not have part,lacks,enthält nicht,hat nicht,499
P1478,has immediate cause,immediate effect of,hat unmittelbare Ursache,Ursache,125023
P2964,right to vote,suffrage,Wahlrecht,wahlberechtigt,68
P127,owned by,belongs to,Eigentümer,gehört,466709
P6153,research site,location of research,Forschungsort,Ort der Untersuchung,266976
P4878,symbolizes,symbol for,symbolisiert,Symbol für,51
P17,country,sovereign state,Staat,Land,14800490
P6477,does not have quality,lacks quality,Mangel an,ermangelt an,344
P9883,created for,made for,gemacht für,erstellt für,35
P19,place of birth,born at,Geburtsort,geboren in,3035164
P286,head coach,coached by,Cheftrainer,Übungsleiter,53908
P501,enclave within,enclosed by,Enklave in,umschlossen von,249
P4675,appears in the form of,takes the form of,angenommene Gestalt,verwandelt sich in,373
P3179,territory overlaps,partially contains territorial extent,Territorium überschneidet sich mit,Gebiet überschneidet sich mit,8370
P1429,has pet,owns pet,hat Haustier,Haustiere,318
P1591,defendant,accused,Angeklagter,Beklagter,4610
P1703,is pollinated by,pollinator,bestäubt durch,Bestäuber,79
P2579,studied by,researched by,Forschungsthema in,wird abgehandelt durch,5967
P371,presenter,hosted by,Moderator,Gastgeber,36107
P9899,music created for,music composed for,Musik gemacht für,Musik erstellt für,182
P5004,in opposition to,opposes,in Opposition zu,gegen,461
P725,voice actor,voiced by,Sprecher,Synchronsprecherin,63208
P460,said to be the same as,may be equal to,eventuell gleichwertig,gleichgesetzt mit,285208
P459,determination method,determined by,Bestimmungsmethode,bestimmt durch,329
P749,parent organization,subsidiary of,übergeordnete Organisation,Muttergesellschaft,122549
P1891,signatory,signed by,Unterzeichner,Unterschreibende,17166
P360,is a list of,lists,Liste von,Hauptthema der Liste,249192
P2842,place of marriage,married at,Ort der Eheschließung,Heiratsort,3
P1269,facet of,aspect of,Aspekt von,Facette von,114378
P1640,curator,curated by,Kurator,Kustos,1600
P366,has use,purpose,Benutzung,Nutzung,91908
P1046,discovery method,detection method,Nachweismethode,Nachweisverfahren,4253
P1441,present in work,appears in,kommt vor in,Vorkommen in,126749
P676,lyrics by,lyricist,Text von,Texter,41728
P826,tonality,in key,Tonart,in der Tonart,5039
P1652,referee,umpire,Schiedsrichter,Unparteiischer,19997
P1542,has effect,causes,Ursache von,verursacht,5715
P1589,lowest point,deepest point,tiefster Punkt,niedrigster Punkt,512
P924,possible treatment,therapy,medizinische Behandlungen,medizinische Therapie,699
P3095,practiced by,done by,praktiziert von,wird praktiziert von,4814
P9660,not found in,not attested in,nicht nachgewiesen in,nicht bezeugt in,11878
P1536,immediate cause of,has immediate effect,direkte Ursache von,Verursacht,18761
P1535,used by,played by,verwendet von,benutzt von,9765
P1479,has contributing factor,indirectly caused by,hat mitwirkenden Faktor,mitwirkender Faktor,588
P669,located on street or square,is on,Straße,Strasse,164995
P8001,endorsed by,supported by,Schirmherrschaft durch,Patron,195
P8411,set in environment,takes place in,Umgebung der Handlung,spielt in,15928
P748,appointed by,named by,ernannt durch,ernannt von,5538
P8738,permits,does not prohibit,erlaubt,autorisiert,23
P872,printed by,printer,Drucker,Druckerei,2905
P4967,prerequisite,requirement,Voraussetzung,Erfordernis,191
P552,handedness,dominant hand,Händigkeit,dominante Hand,2257
P1557,manifestation of,realization of,Manifestation von,verkörpert,2120
P789,edibility,palatiblity,Essbarkeit,Ge­nießbarkeit,792
P4032,reviewed by,examined by,überprüft von,untersucht von,510
P144,based on,derived from,basiert auf,Kopie von,52294
P50,author,written by,Autor,Verfasser,22762513
P1268,represents,stands for,repräsentiert,steht für,5411
P5021,assessment,examination,abgelegte Prüfung,Prüfung abgelegt,25144
P1346,winner,won by,Sieger,Gewinner,246743
P2384,statement describes,statement about,Aussage beschreibt,Aussage über,197
P248,stated in,source of claim,nachgewiesen in,steht in,785
P887,based on heuristic,heuristically based on,basierend auf Heuristik,heuristisch basierend auf,1
P9192,sensors,detector,Sensoren,Sensor,174
P6291,advertises,promotes,bewirbt,fördert,866
P1593,defender,attorney,Verteidiger,Rechtsanwalt,278
P4791,commanded by,has commander,befohlen von,Kommandant,3546
P175,performer,played by,Interpret,Interpretin,499822
P937,work location,working at,Wirkungsort,Arbeitsort,339031
P8956,compatible with,supports,kompatibel mit,unterstützt,222
P610,highest point,zenith,höchster Punkt,höchster Berg,5503
P807,separated from,seceded from,abgetrennt von,Abspaltung von,2321
P737,influenced by,has influence,beeinflusst von,Einflüsse,18552
P1830,owner of,owns,Inhaber von,Eigentümer von,45238
P162,producer,produced by,Produzent,Filmproduzent,181055
P86,composer,composed by,Komponist,Komposition,188471
P7047,enemy of,opponent of,Feind von,Gegner von,3809
P8627,closing time,closes at,Schließzeit,geschlossen um,7
P2770,source of income,income source,Herkunft des Einkommens,Einkommensherkunft,500
P4794,season starts,season begins,Saisonstart,Saisonbeginn,2049
